n,T
1000,13
1000,10
1000,11
1000,14
1000,14
1000,14
1000,12
1000,13
1000,11
1000,10
1000,11
1000,13
1000,12
1000,9
1000,11
1000,12
1000,9
1000,11
1000,13
1000,10
1000,13
1000,11
1000,12
1000,11
1000,9
1000,14
1000,10
1000,11
1000,10
1000,10
1000,8
1000,13
1000,11
1000,10
1000,14
1000,11
1000,11
1000,10
1000,10
1000,10
1000,12
1000,13
1000,11
1000,9
1000,11
1000,12
1000,10
1000,14
1000,11
1000,12
2000,13
2000,15
2000,14
2000,13
2000,11
2000,12
2000,16
2000,15
2000,11
2000,9
2000,14
2000,15
2000,10
2000,13
2000,13
2000,11
2000,12
2000,12
2000,13
2000,11
2000,10
2000,13
2000,11
2000,11
2000,11
2000,11
2000,13
2000,13
2000,15
2000,14
2000,12
2000,11
2000,13
2000,11
2000,11
2000,11
2000,12
2000,17
2000,11
2000,11
2000,14
2000,13
2000,11
2000,15
2000,14
2000,14
2000,13
2000,12
2000,11
2000,14
3000,11
3000,11
3000,11
3000,16
3000,13
3000,15
3000,12
3000,15
3000,12
3000,11
3000,12
3000,17
3000,12
3000,11
3000,10
3000,13
3000,11
3000,14
3000,12
3000,12
3000,14
3000,12
3000,11
3000,16
3000,15
3000,9
3000,12
3000,11
3000,13
3000,16
3000,12
3000,16
3000,13
3000,12
3000,11
3000,13
3000,15
3000,17
3000,15
3000,13
3000,12
3000,12
3000,15
3000,14
3000,13
3000,12
3000,11
3000,11
3000,13
3000,12
4000,13
4000,14
4000,12
4000,13
4000,14
4000,16
4000,16
4000,11
4000,17
4000,12
4000,14
4000,13
4000,14
4000,13
4000,11
4000,14
4000,16
4000,13
4000,12
4000,12
4000,13
4000,12
4000,13
4000,14
4000,16
4000,18
4000,12
4000,16
4000,12
4000,12
4000,13
4000,15
4000,12
4000,13
4000,13
4000,12
4000,11
4000,12
4000,10
4000,12
4000,11
4000,11
4000,15
4000,15
4000,13
4000,12
4000,13
4000,13
4000,13
4000,13
5000,13
5000,15
5000,9
5000,15
5000,13
5000,15
5000,14
5000,11
5000,11
5000,13
5000,13
5000,12
5000,15
5000,11
5000,13
5000,11
5000,14
5000,14
5000,12
5000,12
5000,14
5000,13
5000,13
5000,15
5000,17
5000,11
5000,14
5000,13
5000,13
5000,15
5000,16
5000,15
5000,14
5000,17
5000,12
5000,13
5000,13
5000,13
5000,14
5000,14
5000,12
5000,12
5000,13
5000,14
5000,12
5000,13
5000,12
5000,14
5000,12
5000,13
6000,14
6000,12
6000,14
6000,14
6000,13
6000,11
6000,14
6000,14
6000,13
6000,13
6000,14
6000,12
6000,15
6000,18
6000,13
6000,12
6000,13
6000,12
6000,12
6000,14
6000,14
6000,15
6000,18
6000,14
6000,14
6000,12
6000,15
6000,17
6000,13
6000,12
6000,15
6000,14
6000,14
6000,14
6000,13
6000,15
6000,14
6000,14
6000,15
6000,13
6000,15
6000,13
6000,11
6000,15
6000,15
6000,11
6000,15
6000,18
6000,13
6000,12
7000,18
7000,14
7000,15
7000,13
7000,15
7000,17
7000,13
7000,13
7000,11
7000,12
7000,16
7000,14
7000,14
7000,12
7000,12
7000,16
7000,11
7000,15
7000,15
7000,12
7000,13
7000,14
7000,13
7000,15
7000,11
7000,14
7000,13
7000,14
7000,14
7000,14
7000,17
7000,13
7000,15
7000,13
7000,16
7000,15
7000,12
7000,14
7000,12
7000,12
7000,14
7000,13
7000,12
7000,12
7000,13
7000,14
7000,13
7000,13
7000,15
7000,18
8000,14
8000,13
8000,13
8000,13
8000,14
8000,12
8000,16
8000,15
8000,12
8000,14
8000,15
8000,14
8000,14
8000,17
8000,16
8000,14
8000,13
8000,15
8000,15
8000,12
8000,14
8000,13
8000,24
8000,12
8000,17
8000,14
8000,12
8000,11
8000,17
8000,12
8000,13
8000,14
8000,12
8000,14
8000,13
8000,14
8000,16
8000,12
8000,12
8000,17
8000,16
8000,15
8000,15
8000,14
8000,15
8000,11
8000,14
8000,16
8000,14
8000,15
9000,14
9000,11
9000,13
9000,14
9000,14
9000,16
9000,15
9000,15
9000,13
9000,14
9000,13
9000,23
9000,14
9000,15
9000,17
9000,15
9000,14
9000,11
9000,14
9000,13
9000,14
9000,15
9000,14
9000,14
9000,16
