n,T
9000,14
9000,14
9000,18
9000,16
9000,15
9000,13
9000,13
9000,16
9000,13
9000,15
9000,18
9000,14
9000,13
9000,13
9000,14
9000,13
9000,17
9000,15
9000,19
9000,15
9000,14
9000,17
9000,14
9000,14
9000,14
10000,15
10000,22
10000,15
10000,15
10000,14
10000,13
10000,14
10000,13
10000,14
10000,12
10000,14
10000,13
10000,19
10000,13
10000,14
10000,16
10000,13
10000,14
10000,15
10000,15
10000,13
10000,13
10000,17
10000,21
10000,23
10000,21
10000,16
10000,12
10000,13
10000,17
10000,14
10000,19
10000,14
10000,15
10000,14
10000,18
10000,14
10000,16
10000,15
10000,14
10000,14
10000,12
10000,17
10000,15
10000,16
10000,15
10000,18
10000,11
10000,16
10000,16
11000,18
11000,14
11000,15
11000,15
11000,15
11000,15
11000,13
11000,16
11000,14
11000,17
11000,14
11000,16
11000,12
11000,13
11000,16
11000,13
11000,17
11000,17
11000,14
11000,13
11000,14
11000,13
11000,13
11000,16
11000,18
11000,18
11000,16
11000,17
11000,16
11000,14
11000,12
11000,17
11000,21
11000,14
11000,13
11000,15
11000,14
11000,14
11000,14
11000,16
11000,15
11000,16
11000,15
11000,14
11000,14
11000,13
11000,13
11000,14
11000,13
11000,12
12000,16
12000,13
12000,14
12000,13
12000,15
12000,15
12000,13
12000,14
12000,13
12000,16
12000,15
12000,19
12000,15
12000,15
12000,20
12000,16
12000,15
12000,16
12000,15
12000,17
12000,13
12000,16
12000,12
12000,15
12000,13
12000,16
12000,14
12000,15
12000,14
12000,13
12000,14
12000,13
12000,13
12000,17
12000,13
12000,14
12000,19
12000,17
12000,16
12000,12
12000,14
12000,15
12000,18
12000,13
12000,16
12000,14
12000,13
12000,13
12000,16
12000,14
13000,12
13000,14
13000,18
13000,14
13000,15
13000,14
13000,13
13000,15
13000,17
13000,17
13000,16
13000,16
13000,15
13000,13
13000,15
13000,15
13000,18
13000,16
13000,22
13000,14
13000,14
13000,15
13000,14
13000,14
13000,15
13000,16
13000,15
13000,16
13000,13
13000,13
13000,14
13000,21
13000,20
13000,18
13000,15
13000,13
13000,14
13000,14
13000,15
13000,18
13000,16
13000,18
13000,12
13000,16
13000,17
13000,17
13000,14
13000,14
13000,18
13000,16
14000,16
14000,16
14000,15
14000,16
14000,15
14000,17
14000,13
14000,17
14000,17
14000,12
14000,15
14000,12
14000,15
14000,16
14000,16
14000,16
14000,17
14000,13
14000,16
14000,18
14000,14
14000,19
14000,14
14000,16
14000,15
14000,15
14000,14
14000,14
14000,17
14000,13
14000,13
14000,15
14000,14
14000,14
14000,14
14000,19
14000,14
14000,17
14000,15
14000,17
14000,14
14000,19
14000,14
14000,16
14000,14
14000,17
14000,14
14000,12
14000,13
14000,15
15000,15
15000,16
15000,15
15000,14
15000,14
15000,16
15000,17
15000,19
15000,15
15000,13
15000,16
15000,16
15000,17
15000,14
15000,17
15000,14
15000,15
15000,16
15000,16
15000,12
15000,16
15000,16
15000,14
15000,13
15000,13
15000,14
15000,12
15000,15
15000,14
15000,13
15000,15
15000,14
15000,14
15000,13
15000,14
15000,13
15000,26
15000,17
15000,17
15000,13
15000,15
15000,15
15000,13
15000,13
15000,14
15000,15
15000,15
15000,13
15000,14
15000,15
16000,13
16000,13
16000,16
16000,14
16000,15
16000,14
16000,16
16000,15
16000,14
16000,13
16000,17
16000,17
16000,17
16000,15
16000,14
16000,16
16000,14
16000,13
16000,17
16000,17
16000,15
16000,19
16000,17
16000,16
16000,16
16000,15
16000,13
16000,16
16000,14
16000,16
16000,16
16000,17
16000,14
16000,16
16000,15
16000,13
16000,17
16000,20
16000,16
16000,15
16000,15
16000,19
16000,14
16000,14
16000,14
16000,16
16000,19
16000,16
16000,15
16000,15
17000,16
17000,16
17000,13
17000,13
17000,16
17000,14
17000,17
17000,16
17000,14
17000,13
17000,17
17000,16
17000,14
17000,19
17000,16
17000,16
17000,16
17000,16
17000,17
17000,16
17000,15
17000,14
17000,17
17000,18
17000,16
17000,24
17000,14
17000,16
17000,14
17000,14
17000,15
17000,15
17000,16
17000,18
17000,19
17000,14
17000,14
17000,17
17000,14
17000,13
17000,13
17000,14
17000,17
17000,14
17000,16
17000,16
17000,14
17000,17
17000,14
17000,13
18000,18
18000,14
18000,17
18000,18
18000,15
18000,15
18000,26
18000,21
18000,18
18000,19
18000,14
18000,16
18000,15
18000,15
18000,15
18000,15
18000,14
18000,15
18000,21
18000,16
18000,14
18000,14
18000,16
18000,15
18000,15
18000,19
18000,16
18000,15
18000,13
18000,19
18000,15
18000,14
18000,12
18000,14
18000,17
18000,15
18000,14
18000,18
18000,16
18000,14
18000,16
18000,15
18000,18
18000,13
18000,14
18000,15
18000,15
18000,14
18000,21
18000,16
19000,14
19000,15
19000,16
19000,16
19000,19
19000,14
19000,16
19000,15
19000,14
19000,15
19000,18
19000,14
19000,13
19000,16
19000,16
19000,16
19000,15
19000,14
19000,18
19000,17
19000,15
19000,15
19000,17
19000,16
19000,17
19000,21
19000,14
19000,18
19000,14
19000,19
19000,15
19000,14
19000,18
19000,16
19000,15
19000,15
19000,16
19000,14
19000,14
19000,15
19000,17
19000,15
19000,15
19000,14
19000,14
19000,18
19000,15
19000,15
19000,16
19000,16
20000,18
20000,13
20000,14
20000,15
20000,15
20000,16
20000,15
20000,15
20000,20
20000,15
20000,15
20000,14
20000,15
20000,16
20000,17
20000,18
20000,15
20000,15
20000,17
20000,15
20000,19
20000,14
20000,15
20000,16
20000,14
20000,15
20000,14
20000,16
20000,14
20000,14
20000,15
20000,15
20000,15
20000,13
20000,15
20000,15
20000,13
20000,15
20000,22
20000,14
20000,16
20000,16
20000,14
20000,16
20000,14
20000,14
20000,14
20000,16
20000,16
20000,16
21000,16
21000,16
21000,15
21000,18
21000,18
21000,17
21000,16
21000,12
21000,15
21000,15
21000,18
21000,13
21000,14
21000,15
21000,16
21000,18
21000,17
21000,13
21000,16
21000,17
21000,15
21000,14
21000,18
21000,16
21000,17
21000,15
21000,15
21000,15
21000,19
21000,17
21000,15
21000,17
21000,14
21000,14
21000,12
21000,15
21000,17
21000,14
21000,15
21000,17
21000,15
21000,16
21000,15
21000,14
21000,20
21000,18
21000,15
21000,13
21000,16
21000,13
22000,16
22000,14
22000,16
22000,14
22000,16
22000,16
22000,15
22000,19
22000,18
22000,15
22000,13
22000,14
22000,16
22000,15
22000,16
22000,15
22000,16
22000,15
22000,14
22000,14
22000,15
22000,16
22000,17
22000,17
22000,17
22000,16
22000,15
22000,18
22000,17
22000,16
22000,14
22000,17
22000,16
22000,14
22000,14
22000,17
22000,14
22000,17
22000,15
22000,15
22000,15
22000,14
22000,14
22000,14
22000,14
22000,14
22000,16
22000,20
22000,14
22000,17
23000,18
23000,17
23000,14
23000,16
23000,15
23000,15
23000,13
23000,17
23000,17
23000,16
23000,16
23000,15
23000,15
23000,16
23000,14
23000,16
23000,15
23000,14
23000,17
23000,16
23000,16
23000,17
23000,15
23000,14
23000,16
23000,14
23000,16
23000,19
23000,16
23000,15
23000,17
23000,13
23000,15
23000,13
23000,14
23000,19
23000,15
23000,15
23000,17
23000,17
23000,18
23000,15
23000,15
23000,14
23000,14
23000,17
23000,17
23000,16
23000,17
23000,20
24000,15
24000,13
24000,14
24000,17
24000,15
24000,14
24000,18
24000,14
24000,12
24000,17
24000,17
24000,17
24000,16
24000,17
24000,13
24000,17
24000,14
24000,15
24000,15
24000,15
24000,15
24000,18
24000,15
24000,16
24000,19
24000,17
24000,17
24000,14
24000,15
24000,20
24000,15
24000,17
24000,14
24000,14
24000,16
24000,16
24000,14
24000,16
24000,14
24000,15
24000,17
24000,16
24000,16
24000,13
24000,15
24000,14
24000,19
24000,15
24000,17
24000,20
25000,16
25000,16
25000,15
25000,13
25000,14
25000,16
25000,14
25000,15
25000,15
25000,17
25000,16
25000,19
25000,14
25000,13
25000,12
25000,17
25000,15
25000,17
25000,17
25000,15
25000,17
25000,16
25000,16
25000,16
25000,16
25000,14
25000,15
25000,15
25000,19
25000,13
25000,17
25000,14
25000,19
25000,14
25000,15
25000,21
25000,18
25000,15
25000,16
25000,19
25000,14
25000,20
25000,14
25000,18
25000,13
25000,16
25000,17
25000,15
25000,19
25000,20
26000,16
26000,15
26000,14
26000,14
26000,15
26000,18
26000,16
26000,14
26000,20
26000,20
26000,17
26000,17
26000,18
26000,14
26000,16
26000,15
26000,15
26000,16
26000,15
26000,14
26000,19
26000,17
26000,14
26000,14
26000,16
26000,15
26000,14
26000,16
26000,14
26000,15
26000,14
26000,14
26000,15
26000,18
26000,20
26000,17
26000,17
26000,15
26000,15
26000,18
26000,16
26000,17
26000,15
26000,19
26000,17
26000,19
26000,16
26000,16
26000,15
26000,17
27000,15
27000,20
27000,15
27000,16
27000,14
27000,17
27000,16
27000,15
27000,15
27000,17
27000,22
27000,15
27000,14
27000,14
27000,14
27000,15
27000,15
27000,16
27000,13
27000,15
27000,18
27000,15
27000,16
27000,17
27000,15
27000,19
27000,15
27000,14
27000,14
27000,14
27000,16
27000,14
27000,15
27000,14
27000,20
27000,15
27000,15
27000,15
27000,15
27000,15
27000,18
27000,15
27000,18
27000,17
27000,16
27000,16
27000,17
27000,15
27000,15
27000,13
28000,15
28000,17
28000,13
28000,14
28000,15
28000,16
28000,15
28000,17
28000,18
28000,16
28000,17
28000,15
28000,21
28000,16
28000,18
28000,19
28000,16
28000,16
28000,16
28000,15
28000,18
28000,16
28000,24
28000,16
28000,16
28000,17
28000,15
28000,15
28000,17
28000,16
28000,14
28000,16
28000,17
28000,14
28000,16
28000,17
28000,14
28000,17
28000,17
28000,15
28000,16
28000,13
28000,16
28000,15
28000,16
28000,15
28000,19
28000,15
28000,16
28000,15
29000,15
29000,13
29000,16
29000,16
29000,16
29000,15
29000,15
29000,17
29000,17
29000,17
29000,14
29000,16
29000,14
29000,17
29000,17
29000,18
29000,18
29000,14
29000,14
29000,20
29000,17
29000,17
29000,17
29000,15
29000,14
29000,16
29000,16
29000,20
29000,16
29000,17
29000,15
29000,17
29000,16
29000,15
29000,16
29000,20
29000,13
29000,15
29000,18
29000,17
29000,16
29000,16
29000,14
29000,16
29000,15
29000,14
29000,19
29000,15
29000,14
29000,21
30000,16
30000,18
30000,17
30000,17
30000,16
30000,19
30000,17
30000,17
30000,16
30000,14
30000,16
30000,17
30000,16
30000,16
30000,19
30000,15
30000,21
30000,15
30000,16
30000,15
30000,16
30000,18
30000,16
30000,14
30000,15
30000,20
30000,15
30000,15
30000,21
30000,17
30000,14
30000,13
30000,17
30000,18
30000,14
30000,18
30000,16
30000,23
30000,16
30000,17
30000,15
30000,20
30000,15
30000,14
30000,16
30000,22
30000,19
30000,16
30000,20
30000,14
31000,14
31000,14
31000,18
31000,16
31000,15
31000,18
31000,17
31000,19
31000,16
31000,14
31000,15
31000,19
31000,15
31000,18
31000,16
31000,21
31000,16
31000,16
31000,16
31000,19
31000,15
31000,19
31000,18
31000,15
31000,18
31000,15
31000,17
31000,18
31000,15
31000,22
31000,15
31000,20
31000,18
31000,16
31000,14
31000,15
31000,13
31000,13
31000,17
31000,18
31000,13
31000,15
31000,16
31000,15
31000,16
31000,18
31000,16
31000,16
31000,16
31000,16
32000,14
32000,19
32000,16
32000,16
32000,17
32000,14
32000,14
32000,14
32000,15
32000,14
32000,17
32000,17
32000,20
32000,16
32000,16
32000,16
32000,16
32000,15
32000,19
32000,15
32000,15
32000,16
32000,14
32000,18
32000,16
32000,19
32000,15
32000,27
32000,19
32000,17
32000,16
32000,15
32000,15
32000,16
32000,16
32000,16
32000,18
32000,15
32000,15
32000,16
32000,17
32000,19
32000,16
32000,17
32000,14
32000,15
32000,17
32000,14
32000,16
32000,17
33000,15
33000,19
33000,16
33000,17
33000,15
33000,18
33000,16
33000,15
33000,17
33000,17
33000,15
33000,16
33000,15
33000,16
33000,15
33000,16
33000,14
33000,14
33000,16
33000,15
33000,18
33000,15
33000,16
33000,15
33000,16
33000,20
33000,19
33000,15
33000,16
33000,15
33000,15
33000,14
33000,21
33000,19
33000,18
33000,19
33000,15
33000,14
33000,17
33000,16
33000,14
33000,17
33000,15
33000,15
33000,15
33000,20
33000,17
33000,18
33000,14
33000,17
34000,15
34000,15
34000,16
34000,15
34000,17
34000,15
34000,17
34000,16
34000,15
34000,15
34000,17
34000,17
34000,16
34000,15
34000,17
34000,18
34000,17
34000,18
34000,18
34000,15
34000,19
34000,20
34000,17
34000,15
34000,16
34000,18
34000,16
34000,16
34000,18
34000,15
34000,19
34000,19
34000,15
34000,19
34000,14
34000,15
34000,18
34000,15
34000,19
34000,14
34000,15
34000,20
34000,15
34000,15
34000,16
34000,17
34000,19
34000,15
34000,17
34000,18
35000,17
35000,16
35000,15
35000,15
35000,16
35000,16
35000,14
35000,19
35000,21
35000,15
35000,14
35000,18
35000,16
35000,18
35000,16
35000,16
35000,14
35000,16
35000,17
35000,15
35000,19
35000,19
35000,13
35000,17
35000,17
35000,17
35000,15
35000,17
35000,22
35000,18
35000,17
35000,16
35000,23
35000,16
35000,15
35000,16
35000,14
35000,15
35000,15
35000,14
35000,14
35000,15
35000,18
35000,14
35000,20
35000,22
35000,17
35000,16
35000,20
35000,18
36000,20
36000,15
36000,15
36000,16
36000,16
36000,18
36000,19
36000,15
36000,16
36000,16
36000,18
36000,16
36000,17
36000,15
36000,19
36000,15
36000,16
36000,18
36000,14
36000,17
36000,16
36000,15
36000,21
36000,16
36000,20
36000,15
36000,17
36000,16
36000,14
36000,16
36000,15
36000,14
36000,15
36000,16
36000,15
36000,14
36000,17
36000,17
36000,18
36000,15
36000,14
36000,18
36000,15
36000,17
36000,15
36000,20
36000,14
36000,16
36000,15
36000,16
37000,14
37000,15
37000,16
37000,15
37000,17
37000,14
37000,17
37000,15
37000,19
37000,15
37000,19
37000,17
37000,16
37000,18
37000,18
37000,14
37000,15
37000,18
37000,18
37000,15
37000,17
37000,19
37000,15
37000,19
37000,20
37000,18
37000,16
37000,16
37000,15
37000,14
37000,16
37000,19
37000,19
37000,17
37000,16
37000,13
37000,14
37000,18
37000,16
37000,15
37000,14
37000,18
37000,17
37000,16
37000,15
37000,18
37000,17
37000,15
37000,15
37000,14
38000,17
38000,17
38000,16
38000,20
38000,15
38000,17
38000,19
38000,15
38000,14
38000,17
38000,15
38000,16
38000,19
38000,16
38000,16
38000,15
38000,20
38000,16
38000,15
38000,18
38000,15
38000,17
38000,15
38000,16
38000,18
38000,17
38000,20
38000,14
38000,15
38000,15
38000,16
38000,17
38000,15
38000,17
38000,16
38000,14
38000,23
38000,17
38000,17
38000,16
38000,17
38000,17
38000,17
38000,16
38000,16
38000,16
38000,15
38000,16
38000,15
38000,20
39000,17
39000,16
39000,17
39000,16
39000,16
39000,16
39000,15
39000,15
39000,15
39000,14
39000,14
39000,14
39000,18
39000,18
39000,15
39000,17
39000,16
39000,15
39000,15
39000,16
39000,15
39000,20
39000,16
39000,16
39000,17
39000,16
39000,17
39000,19
39000,17
39000,17
39000,14
39000,16
39000,18
39000,15
39000,16
39000,16
39000,17
39000,15
39000,19
39000,17
39000,17
39000,15
39000,17
39000,17
39000,17
39000,17
39000,15
39000,16
39000,14
39000,22
40000,18
40000,19
40000,18
40000,17
40000,15
40000,18
40000,19
40000,17
40000,18
40000,15
40000,16
40000,21
40000,18
40000,15
40000,15
40000,24
40000,14
40000,16
40000,17
40000,14
40000,14
40000,18
40000,19
40000,15
40000,19
40000,18
40000,18
40000,16
40000,15
40000,16
40000,19
40000,15
40000,15
40000,15
40000,15
40000,19
40000,15
40000,16
40000,17
40000,15
40000,15
40000,19
40000,19
40000,16
40000,15
40000,15
40000,17
40000,14
40000,15
40000,20
41000,18
41000,14
41000,17
41000,15
41000,15
41000,17
41000,17
41000,16
41000,16
41000,14
41000,19
41000,17
41000,15
41000,17
41000,19
41000,16
41000,18
41000,19
41000,16
41000,16
41000,17
41000,14
41000,14
41000,16
41000,17
41000,20
41000,17
41000,14
41000,16
41000,17
41000,17
41000,17
41000,15
41000,16
41000,16
41000,17
41000,16
41000,19
41000,15
41000,18
41000,16
41000,17
41000,16
41000,16
41000,15
41000,17
41000,15
41000,14
41000,13
41000,16
42000,20
42000,16
42000,15
42000,15
42000,17
42000,17
42000,15
42000,17
42000,21
42000,19
42000,16
42000,16
42000,15
42000,18
42000,15
42000,18
42000,17
42000,18
42000,19
42000,14
42000,21
42000,14
42000,18
42000,14
42000,15
42000,16
42000,16
42000,17
42000,15
42000,16
42000,13
42000,16
42000,17
42000,16
42000,15
42000,16
42000,15
42000,15
42000,15
42000,16
42000,15
42000,17
42000,17
42000,17
42000,16
42000,15
42000,16
42000,14
42000,16
42000,16
43000,21
43000,14
43000,17
43000,16
43000,21
43000,15
43000,17
43000,17
43000,20
43000,21
43000,14
43000,16
43000,16
43000,15
43000,19
43000,16
43000,16
43000,18
43000,15
43000,16
43000,19
43000,16
43000,14
43000,15
43000,15
43000,17
43000,19
43000,19
43000,18
43000,15
43000,17
43000,18
43000,16
43000,15
43000,17
43000,17
43000,16
43000,14
43000,16
43000,15
43000,18
43000,17
43000,18
43000,17
43000,17
43000,15
43000,17
43000,19
43000,15
43000,18
44000,20
44000,18
44000,16
44000,21
44000,14
44000,17
44000,17
44000,16
44000,15
44000,16
44000,16
44000,16
44000,18
44000,15
44000,16
44000,19
44000,15
44000,20
44000,16
44000,18
44000,19
44000,17
44000,17
44000,18
44000,15
44000,20
44000,16
44000,16
44000,15
44000,22
44000,16
44000,17
44000,17
44000,15
44000,16
44000,19
44000,20
44000,17
44000,15
44000,20
44000,18
44000,15
44000,19
44000,15
44000,16
44000,20
44000,15
44000,17
44000,15
44000,16
45000,17
45000,15
45000,18
45000,15
45000,18
45000,15
45000,21
45000,15
45000,16
45000,16
45000,19
45000,20
45000,17
45000,15
45000,18
45000,18
45000,21
45000,17
45000,17
45000,15
45000,16
45000,15
45000,16
45000,16
45000,16
45000,15
45000,17
45000,14
45000,14
45000,18
45000,15
45000,15
45000,16
45000,14
45000,17
45000,14
45000,18
45000,18
45000,16
45000,14
45000,16
45000,17
45000,17
45000,17
45000,15
45000,17
45000,16
45000,17
45000,17
45000,15
46000,19
46000,18
46000,15
46000,14
46000,17
46000,16
46000,18
46000,17
46000,20
46000,18
46000,17
46000,19
46000,24
46000,22
46000,20
46000,20
46000,17
46000,16
46000,14
46000,18
46000,16
46000,17
46000,18
46000,19
46000,20
46000,14
46000,16
46000,17
46000,17
46000,16
46000,16
46000,16
46000,17
46000,18
46000,20
46000,15
46000,17
46000,17
46000,19
46000,15
46000,17
46000,15
46000,17
46000,18
46000,15
46000,23
46000,18
46000,17
46000,16
46000,15
47000,15
47000,16
47000,16
47000,17
47000,15
47000,19
47000,13
47000,19
47000,16
47000,15
47000,15
47000,14
47000,15
47000,17
47000,26
47000,15
47000,17
47000,15
47000,18
47000,16
47000,16
47000,16
47000,18
47000,17
47000,17
47000,16
47000,16
47000,15
47000,14
47000,17
47000,16
47000,16
47000,17
47000,17
47000,15
47000,15
47000,15
47000,19
47000,15
47000,20
47000,16
47000,15
47000,15
47000,17
47000,15
47000,15
47000,16
47000,15
47000,18
47000,16
48000,17
48000,17
48000,14
48000,17
48000,15
48000,17
48000,18
48000,15
48000,24
48000,17
48000,17
48000,15
48000,18
48000,20
48000,17
48000,15
48000,18
48000,19
48000,17
48000,15
48000,17
48000,20
48000,20
48000,18
48000,17
48000,14
48000,19
48000,15
48000,17
48000,19
48000,16
48000,16
48000,17
48000,17
48000,16
48000,18
48000,16
48000,16
48000,18
48000,20
48000,15
48000,15
48000,17
48000,15
48000,17
48000,15
48000,16
48000,15
48000,17
48000,16
49000,17
49000,15
49000,16
49000,18
49000,16
49000,14
49000,17
49000,14
49000,18
49000,16
49000,17
49000,17
49000,16
49000,16
49000,16
49000,16
49000,20
49000,17
49000,15
49000,16
49000,15
49000,15
49000,16
49000,16
49000,21
49000,16
49000,22
49000,16
49000,16
49000,18
49000,18
49000,21
49000,20
49000,17
49000,19
49000,15
49000,16
49000,16
49000,18
49000,17
49000,16
49000,16
49000,17
49000,18
49000,16
49000,18
49000,18
49000,14
49000,18
49000,16
50000,16
50000,17
50000,19
50000,17
50000,17
50000,17
50000,17
50000,22
50000,16
50000,16
50000,17
50000,18
50000,16
50000,19
50000,17
50000,15
50000,20
50000,16
50000,15
50000,17
50000,22
50000,17
50000,16
50000,17
50000,16
50000,16
50000,17
50000,16
50000,15
50000,15
50000,16
50000,18
50000,17
50000,14
50000,17
50000,16
50000,18
50000,19
50000,22
50000,18
50000,16
50000,16
50000,17
50000,17
50000,18
50000,15
50000,15
50000,16
50000,23
50000,16
51000,17
51000,17
51000,17
51000,20
51000,16
51000,16
51000,15
51000,17
51000,15
51000,17
51000,20
51000,17
51000,20
51000,17
51000,18
51000,17
51000,18
51000,17
51000,16
51000,15
51000,18
51000,15
51000,16
51000,15
51000,17
51000,15
51000,17
51000,17
51000,16
51000,18
51000,23
51000,15
51000,15
51000,14
51000,17
51000,15
51000,15
51000,16
51000,16
51000,16
51000,16
51000,15
51000,17
51000,15
51000,17
51000,14
51000,17
51000,17
51000,16
51000,18
52000,17
52000,17
52000,16
52000,17
52000,15
52000,20
52000,16
52000,18
52000,20
52000,16
52000,16
52000,18
52000,19
52000,16
52000,15
52000,16
52000,16
52000,17
52000,17
52000,17
52000,16
52000,17
52000,18
52000,16
52000,18
52000,15
52000,20
52000,15
52000,18
52000,16
52000,19
52000,16
52000,17
52000,16
52000,18
52000,17
52000,17
52000,17
52000,17
52000,19
52000,19
52000,16
52000,18
52000,15
52000,16
52000,16
52000,17
52000,17
52000,16
52000,15
53000,16
53000,17
53000,19
53000,16
53000,14
53000,17
53000,15
53000,16
53000,16
53000,17
53000,17
53000,19
53000,15
53000,15
53000,16
53000,15
53000,15
53000,16
53000,17
53000,18
53000,15
53000,16
53000,19
53000,19
53000,15
53000,14
53000,18
53000,18
53000,17
53000,15
53000,18
53000,17
53000,16
53000,19
53000,17
53000,17
53000,17
53000,18
53000,17
53000,17
53000,21
53000,15
53000,15
53000,15
53000,16
53000,18
53000,20
53000,17
53000,15
53000,17
54000,15
54000,16
54000,15
54000,19
54000,17
54000,20
54000,17
54000,18
54000,16
54000,18
54000,16
54000,18
54000,17
54000,21
54000,16
54000,14
54000,16
54000,17
54000,17
54000,20
54000,19
54000,17
54000,18
54000,13
54000,17
54000,16
54000,15
54000,16
54000,21
54000,17
54000,16
54000,17
54000,15
54000,18
54000,16
54000,16
54000,15
54000,17
54000,20
54000,18
54000,17
54000,17
54000,18
54000,19
54000,19
54000,19
54000,17
54000,15
54000,16
54000,18
55000,18
55000,17
55000,18
55000,19
55000,17
55000,17
55000,16
55000,17
55000,18
55000,16
55000,19
55000,19
55000,19
55000,15
55000,20
55000,16
55000,18
55000,17
55000,17
55000,22
55000,17
55000,16
55000,17
55000,16
55000,15
55000,16
55000,16
55000,20
55000,15
55000,18
55000,23
55000,18
55000,16
55000,21
55000,17
55000,14
55000,15
55000,16
55000,14
55000,17
55000,16
55000,16
55000,17
55000,16
55000,18
55000,15
55000,18
55000,15
55000,17
55000,16
56000,18
56000,16
56000,16
56000,15
56000,16
56000,15
56000,18
56000,17
56000,15
56000,21
56000,16
56000,18
56000,16
56000,17
56000,16
56000,20
56000,18
56000,16
56000,17
56000,21
56000,16
56000,17
56000,16
56000,17
56000,18
56000,20
56000,18
56000,16
56000,16
56000,18
56000,18
56000,17
56000,19
56000,17
56000,15
56000,17
56000,17
56000,17
56000,16
56000,16
56000,17
56000,19
56000,15
56000,15
56000,18
56000,15
56000,18
56000,22
