n,T
13000,84
13000,87
13000,80
13000,102
13000,79
13000,106
13000,87
13000,99
13000,126
13000,96
13000,120
14000,84
14000,89
14000,134
14000,107
14000,122
14000,121
14000,114
14000,96
14000,87
14000,85
14000,92
14000,87
14000,109
14000,94
14000,90
14000,84
14000,104
14000,98
14000,99
14000,83
14000,94
14000,96
14000,106
14000,79
14000,96
14000,107
14000,103
14000,90
14000,103
14000,98
14000,91
14000,100
14000,103
14000,89
14000,120
14000,85
14000,102
14000,110
14000,110
14000,94
14000,99
14000,122
14000,91
14000,97
14000,99
14000,88
14000,84
14000,103
14000,94
14000,88
15000,92
15000,89
15000,95
15000,114
15000,106
15000,85
15000,116
15000,97
15000,87
15000,110
15000,106
15000,129
15000,103
15000,94
15000,101
15000,110
15000,85
15000,99
15000,130
15000,93
15000,94
15000,101
15000,95
15000,95
15000,89
15000,101
15000,91
15000,85
15000,103
15000,92
15000,92
15000,90
15000,89
15000,100
15000,98
15000,82
15000,84
15000,94
15000,104
15000,88
15000,103
15000,119
15000,91
15000,83
15000,93
15000,95
15000,99
15000,98
15000,99
15000,113
16000,102
16000,102
16000,101
16000,103
16000,90
16000,96
16000,97
16000,85
16000,106
16000,90
16000,100
16000,97
16000,106
16000,113
16000,116
16000,90
16000,144
16000,122
16000,120
16000,121
16000,101
16000,82
16000,96
16000,100
16000,109
16000,113
16000,85
16000,89
16000,95
16000,90
16000,88
16000,89
16000,90
16000,110
16000,136
16000,89
16000,87
16000,110
16000,93
16000,84
16000,96
16000,91
16000,83
16000,88
16000,87
16000,89
16000,85
16000,78
16000,114
16000,102
17000,105
17000,109
17000,87
17000,105
17000,120
17000,96
17000,102
17000,77
17000,89
17000,88
17000,92
17000,99
17000,93
17000,114
17000,106
17000,89
17000,101
17000,102
17000,105
17000,87
17000,119
17000,112
17000,97
17000,90
17000,112
17000,103
17000,90
17000,77
17000,96
17000,133
17000,78
17000,85
17000,86
17000,96
17000,93
17000,99
17000,81
17000,88
17000,96
17000,87
17000,101
17000,86
17000,98
17000,90
17000,96
17000,110
17000,82
17000,109
17000,99
17000,101
18000,81
18000,92
18000,109
18000,143
18000,98
18000,98
18000,123
18000,105
18000,97
18000,99
18000,89
18000,90
18000,94
18000,102
18000,97
18000,99
18000,113
18000,88
18000,83
18000,107
18000,94
18000,105
18000,92
18000,92
18000,115
18000,83
18000,132
18000,104
18000,83
18000,110
18000,82
18000,105
18000,91
18000,95
18000,103
18000,81
18000,101
18000,97
18000,102
18000,94
18000,85
18000,98
18000,101
18000,95
18000,86
18000,113
18000,94
18000,80
18000,94
18000,82
19000,108
19000,95
19000,120
19000,85
19000,88
19000,104
19000,111
19000,88
19000,92
19000,95
19000,85
19000,89
19000,116
19000,129
19000,81
19000,90
19000,94
19000,82
19000,130
19000,87
19000,92
19000,91
19000,103
19000,94
19000,111
19000,110
19000,85
19000,109
19000,102
19000,90
19000,97
19000,99
19000,82
19000,114
19000,98
19000,160
19000,96
19000,108
19000,108
19000,90
19000,104
19000,104
19000,99
19000,94
19000,116
19000,88
19000,104
19000,99
19000,125
19000,99
20000,120
20000,96
20000,91
20000,105
20000,96
20000,93
20000,116
20000,124
20000,112
20000,88
20000,84
20000,92
20000,87
20000,88
20000,108
20000,112
20000,95
20000,115
20000,97
20000,106
20000,109
20000,101
20000,93
20000,88
20000,90
20000,98
20000,90
20000,113
20000,101
20000,94
20000,120
20000,102
20000,89
20000,97
20000,85
20000,94
20000,126
20000,87
20000,99
20000,99
20000,82
20000,111
20000,95
20000,102
20000,114
20000,115
20000,104
20000,81
20000,90
20000,99
21000,100
21000,101
21000,80
21000,117
21000,100
21000,98
21000,92
21000,87
21000,102
21000,95
21000,105
21000,94
21000,94
21000,98
21000,107
21000,103
21000,103
21000,106
21000,92
21000,89
21000,138
21000,88
21000,100
21000,93
21000,96
21000,123
21000,120
21000,102
21000,91
21000,99
21000,90
21000,120
21000,101
21000,90
21000,95
21000,85
21000,116
21000,115
21000,107
21000,96
21000,87
21000,101
21000,84
21000,95
21000,116
21000,86
21000,103
21000,105
21000,106
21000,88
22000,91
22000,91
22000,100
22000,97
22000,108
22000,99
22000,98
22000,94
22000,107
22000,111
22000,92
22000,106
22000,92
22000,99
22000,96
22000,105
22000,101
22000,107
22000,106
22000,102
22000,93
22000,103
22000,82
22000,105
22000,90
22000,85
