n,cmp
1300,425841
1300,432124
1300,437000
1300,438522
1300,431135
1300,423472
1300,425305
1300,422957
1300,425614
1300,419709
1300,438781
1300,418494
1300,430747
1300,445733
1300,446071
1300,425522
1300,430020
1300,437817
1300,438547
1300,438994
1300,436835
1300,426978
1300,439127
1300,448940
1300,431228
1300,424878
1300,424022
1300,430518
1300,432299
1300,436906
1300,427516
1300,436862
1300,414784
1300,431356
1300,422236
1300,437636
1300,431993
1300,436344
1300,434389
1300,432144
1300,439310
1300,435968
1300,431506
1400,499306
1400,503450
1400,485633
1400,503562
1400,492520
1400,501937
1400,485176
1400,515731
1400,508585
1400,508158
1400,494733
1400,501415
1400,508901
1400,492153
1400,508722
1400,510892
1400,501723
1400,500401
1400,509151
1400,512738
1400,497604
1400,509393
1400,495841
1400,516169
1400,487759
1400,512688
1400,500639
1400,496239
1400,495300
1400,492458
1400,484536
1400,496713
1400,496225
1400,506624
1400,510206
1400,492575
1400,493107
1400,499750
1400,494483
1400,502133
1400,512718
1400,496372
1400,490743
1400,501820
1400,506963
1400,498924
1400,501050
1400,483856
1400,512853
1400,491889
1500,566743
1500,570412
1500,552360
1500,580274
1500,567247
1500,568886
1500,570969
1500,569382
1500,585776
1500,573662
1500,566137
1500,589661
1500,576388
1500,584236
1500,555742
1500,584603
1500,580572
1500,564875
1500,557705
1500,571188
1500,592384
1500,565486
1500,580612
1500,576125
1500,557872
1500,568157
1500,576532
1500,595503
1500,569678
1500,573673
1500,570608
1500,580102
1500,588529
1500,564972
1500,569804
1500,551894
1500,556027
1500,549568
1500,571932
1500,575709
1500,572498
1500,565197
1500,557878
1500,565949
1500,585097
1500,593884
1500,581501
1500,584557
1500,586445
1500,563992
1600,659320
1600,669633
1600,664945
1600,634267
1600,634698
1600,641995
1600,665834
1600,653853
1600,648374
1600,651742
1600,646728
1600,668735
1600,648329
1600,661395
1600,672610
1600,653196
1600,656634
1600,646663
1600,646337
1600,666627
1600,657882
1600,660506
1600,656112
1600,665640
1600,649239
1600,664936
1600,654976
1600,642544
1600,656018
1600,648147
1600,663162
1600,659515
1600,640789
1600,649381
1600,654176
1600,669910
1600,651336
1600,654171
1600,653887
1600,687869
1600,647309
1600,642205
1600,665434
1600,677377
1600,650838
1600,648999
1600,637589
1600,670688
1600,652709
1600,645223
1700,753891
1700,735225
1700,729382
1700,744582
1700,731473
1700,745956
1700,739821
1700,735619
1700,736144
1700,754430
1700,740018
1700,736348
1700,735208
1700,742874
1700,746576
1700,749179
1700,741607
1700,749098
1700,730538
1700,726474
1700,730971
1700,753056
1700,752015
1700,747768
1700,713451
1700,713226
1700,741089
1700,740494
1700,754453
1700,735886
1700,756124
1700,736881
1700,732779
1700,752726
1700,757131
1700,729163
1700,729768
1700,742421
1700,760847
1700,731846
1700,736819
1700,745990
1700,720774
1700,724007
1700,730483
1700,749695
1700,731438
1700,738391
1700,733362
1700,736394
1800,829517
1800,845210
1800,830248
1800,827961
1800,823159
1800,812533
1800,824664
1800,825607
1800,815662
1800,851215
1800,818398
1800,816277
1800,840846
1800,821524
1800,815924
1800,838041
1800,840675
1800,848886
1800,824968
1800,827924
1800,818126
1800,825084
1800,848879
1800,825647
1800,806725
1800,839605
1800,810687
1800,829982
1800,802737
1800,840167
1800,807786
1800,820702
1800,830712
1800,819894
1800,811234
1800,816736
1800,843936
1800,820137
1800,833317
1800,838052
1800,811353
1800,826164
1800,837039
1800,821573
1800,844773
1800,845650
1800,841958
1800,808878
1800,841401
1800,828357
1900,926836
1900,918122
1900,925411
1900,913870
1900,910687
1900,931263
1900,904731
1900,896390
1900,921791
1900,904313
1900,943239
1900,942046
1900,904402
1900,912686
1900,928076
1900,916679
1900,947056
1900,921740
1900,912152
1900,930589
1900,930179
1900,892676
1900,904726
1900,938845
1900,952493
1900,929433
1900,918602
1900,908986
1900,927167
1900,936458
1900,910152
1900,915371
1900,914652
1900,910043
1900,925186
1900,931336
1900,927029
1900,915085
1900,931849
1900,912379
1900,917694
1900,932060
1900,944844
1900,920387
1900,917706
1900,938396
1900,939588
1900,883306
1900,905938
1900,916805
2000,1019867
2000,1035927
2000,1039347
2000,1027719
2000,1003653
2000,1031197
2000,1008573
2000,1036212
2000,1013753
2000,1008434
2000,1026199
2000,1008563
2000,1022518
2000,1025870
2000,1011652
2000,1035580
2000,1017806
2000,1046461
2000,1038065
2000,1045356
2000,1017669
2000,1012074
2000,1014713
2000,1021172
2000,1025499
2000,1025696
2000,1016791
2000,1036442
2000,1038936
2000,1019669
2000,1017360
2000,1031102
2000,1035334
2000,1019162
2000,1030824
