n,D-C
47000,162919
47000,166026
47000,91919
47000,129991
47000,100345
47000,11475
47000,194923
47000,62631
47000,62516
47000,191536
47000,179044
47000,6944
47000,126469
47000,8424
47000,143549
47000,103896
47000,85069
47000,149873
47000,121376
47000,81503
47000,50604
47000,79248
47000,302903
47000,148002
47000,103008
47000,74285
47000,106080
47000,38007
47000,265771
47000,107391
48000,203197
48000,77892
48000,392982
48000,16376
48000,58722
48000,13630
48000,98595
48000,76536
48000,119381
48000,159055
48000,310116
48000,141403
48000,164048
48000,27048
48000,128732
48000,48642
48000,60247
48000,113970
48000,149285
48000,142162
48000,174565
48000,363818
48000,61951
48000,69002
48000,123865
48000,56500
48000,118160
48000,213292
48000,108687
48000,244050
48000,112868
48000,182378
48000,14131
48000,16949
48000,7501
48000,22515
48000,102097
48000,148261
48000,169572
48000,85431
48000,322456
48000,158914
48000,258562
48000,199413
48000,153708
48000,16728
48000,103161
48000,175957
48000,34867
48000,98924
49000,79195
49000,140252
49000,103238
49000,135317
49000,136676
49000,98521
49000,199328
49000,111890
49000,241103
49000,100521
49000,167093
49000,78053
49000,344464
49000,153330
49000,149322
49000,57904
49000,162053
49000,161508
49000,60705
49000,65094
49000,221914
49000,163164
49000,66016
49000,210483
49000,163389
49000,4353
49000,97294
49000,135185
49000,58147
49000,156626
49000,84372
49000,71434
49000,137944
49000,171103
49000,173678
49000,150295
49000,38456
49000,142798
49000,144470
49000,115137
49000,176882
49000,109395
49000,100353
49000,99672
49000,105213
49000,112700
49000,53063
49000,115469
49000,27480
49000,23926
50000,210720
50000,24589
50000,59625
50000,63769
50000,57367
50000,148906
50000,104128
50000,141114
50000,19784
50000,65625
50000,105970
50000,122391
50000,167831
50000,137130
50000,235060
50000,219012
50000,160645
50000,97533
50000,52191
50000,99550
50000,185863
50000,146820
50000,62409
50000,227156
50000,167007
50000,52794
50000,77182
50000,121400
50000,86853
50000,160680
50000,19661
50000,130979
50000,90147
50000,18538
50000,62364
50000,72870
50000,127705
50000,102913
50000,323821
50000,34404
50000,95789
50000,6082
50000,124881
50000,27542
50000,151411
50000,138044
50000,139199
50000,17868
50000,134441
50000,144488
51000,139685
51000,88894
51000,180578
51000,138204
51000,43912
51000,113577
51000,217513
51000,52949
51000,104891
51000,133486
51000,113003
51000,97120
51000,203099
51000,348036
51000,281278
51000,146230
51000,218074
51000,26747
51000,100491
51000,9514
51000,140828
51000,359314
51000,254036
51000,144204
51000,130530
51000,171116
51000,211807
51000,77031
51000,57298
51000,165058
51000,184000
51000,92048
51000,111150
51000,152250
51000,33737
51000,106512
51000,151427
51000,82744
51000,31108
51000,422266
51000,237104
51000,100247
51000,83358
51000,215938
51000,192750
51000,182588
51000,147716
51000,123337
51000,94833
51000,162331
52000,149533
52000,185280
52000,155236
52000,175716
52000,225420
52000,213911
52000,178337
52000,176107
52000,121912
52000,106170
52000,182735
52000,287363
52000,187453
52000,139143
52000,177077
52000,356524
52000,132371
52000,139534
52000,31425
52000,44054
52000,34689
52000,281964
52000,155972
52000,108858
52000,38010
52000,68471
52000,189451
52000,143753
52000,172960
52000,179729
52000,141627
52000,58341
52000,124423
52000,135018
52000,99696
52000,106618
52000,134281
52000,54771
52000,180098
52000,100794
52000,20866
52000,265173
52000,272719
52000,47074
52000,164045
52000,153571
52000,19787
52000,33977
52000,114943
52000,93999
53000,90143
53000,118955
53000,100822
53000,55203
53000,157474
53000,168071
53000,139434
53000,141527
53000,45472
53000,275130
53000,139348
53000,161269
53000,158648
53000,37282
53000,110828
53000,236118
53000,48324
53000,144406
53000,250758
53000,215795
53000,120710
53000,153332
53000,185968
53000,160577
53000,59429
53000,125108
53000,159065
53000,198117
53000,277307
53000,103874
53000,136127
53000,169425
53000,21688
53000,196087
53000,123504
53000,157541
53000,52131
53000,115785
53000,82543
53000,91697
53000,7738
53000,47966
53000,109787
53000,14263
53000,227024
53000,264157
53000,184286
53000,395006
53000,213757
53000,231459
54000,225044
54000,133870
54000,238090
54000,133941
54000,269539
54000,44192
54000,217197
54000,113915
54000,259092
54000,203055
54000,102327
54000,98309
54000,138050
54000,178404
54000,296742
54000,287608
54000,54618
54000,128168
54000,152679
54000,147093
54000,85854
54000,112850
54000,118191
54000,155652
54000,235811
54000,114281
54000,134175
54000,143722
54000,122702
54000,186003
54000,250347
54000,121686
54000,30386
54000,59363
54000,148028
54000,99943
54000,142915
54000,165637
54000,133460
54000,424796
54000,232986
54000,68918
54000,130400
54000,36672
54000,138877
54000,328046
54000,177217
54000,81293
54000,68588
54000,156355
55000,201338
55000,127423
55000,230136
55000,54901
55000,319594
55000,242257
55000,108503
55000,171234
55000,114554
55000,174935
55000,159771
55000,103598
55000,111428
55000,233913
55000,168221
55000,127442
55000,180518
55000,383157
55000,107080
55000,31495
55000,144881
55000,102685
55000,251716
55000,101094
55000,107205
55000,182162
55000,96115
55000,263707
55000,342508
55000,145689
55000,124748
55000,164247
55000,284364
55000,114275
55000,176462
55000,164389
55000,147184
55000,169665
55000,194873
55000,55427
55000,176855
55000,213716
55000,212668
55000,115831
55000,190901
55000,185156
55000,73005
55000,80459
55000,84690
55000,81524
56000,208221
56000,241595
56000,199479
56000,119117
56000,130022
56000,134303
56000,154725
56000,249086
56000,176109
56000,224
56000,222357
56000,196396
56000,345081
56000,120208
56000,214575
56000,291599
56000,81489
56000,120807
56000,23936
56000,217902
56000,186329
56000,120135
56000,203467
56000,220170
56000,255152
56000,85693
56000,146171
56000,357690
56000,97096
56000,72092
56000,164079
56000,55873
56000,360124
56000,51680
56000,191705
56000,141318
56000,253444
56000,226163
56000,133004
56000,120474
56000,135620
56000,134024
56000,291097
56000,182540
56000,72701
56000,73962
56000,66759
56000,246898
56000,192562
56000,145892
57000,179855
57000,57953
57000,147574
57000,136012
57000,153886
57000,140060
57000,266392
57000,157543
57000,43484
57000,420084
57000,114757
57000,70052
57000,363164
57000,309420
57000,83597
57000,74446
57000,211535
57000,60459
57000,56293
57000,24622
57000,146396
57000,56118
57000,56610
57000,27998
57000,100488
57000,68031
57000,112260
57000,202918
57000,147209
57000,230679
57000,115552
57000,107002
57000,172195
57000,175455
57000,138044
57000,119364
57000,278911
57000,226799
57000,367819
57000,59968
57000,165930
57000,81571
57000,172134
57000,96416
57000,312248
57000,147033
57000,353199
57000,13475
57000,38282
57000,334181
58000,174245
58000,28080
58000,136630
58000,155004
58000,263764
58000,233318
58000,133325
58000,276725
58000,111587
58000,208038
58000,253136
58000,152613
58000,92214
58000,45719
58000,165319
58000,276026
58000,84118
58000,234145
58000,142681
58000,48232
58000,264413
58000,73352
58000,151259
58000,178870
58000,336770
58000,56787
58000,84072
58000,123048
58000,89498
58000,176715
58000,32354
58000,59243
58000,136388
58000,256431
58000,145751
58000,273832
58000,127255
58000,14307
58000,120861
58000,77216
58000,86349
58000,81402
58000,259452
58000,237074
58000,12439
58000,115558
58000,27683
58000,213761
58000,238499
58000,213215
59000,193845
59000,150930
59000,119482
59000,168277
59000,88000
59000,227640
59000,138496
59000,143088
59000,234066
59000,157802
59000,76886
59000,323237
59000,281058
59000,49093
59000,146266
59000,115848
59000,71392
59000,156582
59000,193188
59000,217092
59000,248721
59000,104883
59000,243032
59000,160718
59000,152624
59000,168626
59000,123448
59000,205721
59000,115797
59000,140247
59000,155271
59000,77175
59000,116090
59000,83139
59000,67742
59000,256748
59000,118572
59000,57420
59000,287040
59000,339497
59000,149776
59000,155356
59000,84287
59000,114756
59000,51589
59000,120846
59000,115939
59000,198876
59000,270069
59000,347349
60000,107542
60000,73094
60000,6202
60000,21635
60000,307366
60000,95363
60000,191423
60000,92890
60000,312257
60000,126755
60000,186317
60000,107351
60000,127184
60000,134759
60000,118586
60000,208629
60000,231288
60000,268247
60000,139458
60000,179088
60000,197401
60000,25833
60000,293418
60000,190490
60000,155628
60000,39685
60000,131941
60000,164903
60000,55063
60000,98667
60000,1167
60000,147868
60000,76804
60000,234749
60000,83743
60000,149488
60000,174418
60000,243628
60000,278404
60000,365583
60000,20083
60000,230421
60000,211055
60000,42844
60000,152760
60000,259486
60000,411123
60000,187680
60000,277999
60000,175983
61000,139863
61000,134189
61000,138411
61000,18136
61000,64166
61000,72788
61000,8934
61000,186930
61000,365657
61000,88618
61000,203142
61000,230216
61000,200420
61000,560983
61000,327125
61000,260031
61000,143281
61000,247911
61000,222986
61000,87553
61000,306063
61000,63107
61000,105421
61000,151251
61000,495530
61000,392764
61000,8188
61000,350629
61000,202324
61000,103036
61000,444331
61000,117713
61000,98153
61000,90458
61000,424137
61000,195300
61000,189770
61000,249253
61000,53449
61000,284696
61000,137075
61000,207206
61000,208457
61000,149431
61000,183832
61000,129949
61000,7095
61000,127971
61000,142335
61000,205098
62000,58791
62000,62457
62000,126078
62000,195969
62000,124532
62000,184549
62000,174679
62000,194247
62000,216093
62000,162039
62000,313393
62000,343522
62000,26180
62000,154527
62000,353301
62000,177687
62000,48965
62000,97525
62000,94507
62000,295766
62000,138628
62000,216886
62000,56194
62000,34504
62000,131832
62000,89307
62000,317718
62000,44758
62000,113415
62000,225046
62000,119971
62000,45326
62000,137781
62000,175615
62000,183485
62000,351845
62000,262807
62000,281950
62000,81601
62000,346733
62000,314273
62000,173696
62000,74647
62000,279103
62000,64285
62000,63336
62000,202273
62000,299707
62000,268445
62000,120194
63000,183915
63000,258131
63000,52728
63000,84150
63000,166287
63000,120905
63000,116461
63000,117087
63000,131353
63000,228704
63000,175227
63000,101598
63000,149985
63000,174838
63000,48377
63000,51806
63000,186150
63000,40027
63000,239506
63000,235238
63000,95091
63000,134857
63000,47826
63000,191886
63000,166847
63000,76963
63000,92861
63000,310921
63000,119820
63000,91006
63000,166420
63000,158740
63000,28528
63000,124476
63000,71593
63000,160657
63000,186638
63000,81027
63000,258784
63000,143300
63000,140707
63000,28503
63000,175401
63000,73031
63000,320759
63000,176320
63000,164861
63000,118806
63000,80787
63000,63410
64000,51234
64000,205118
64000,382144
64000,191038
64000,92338
64000,144207
64000,315196
64000,72640
64000,19911
64000,232505
64000,164052
64000,55351
64000,43189
64000,106159
64000,130731
64000,36159
64000,107969
64000,89533
64000,39727
64000,82341
64000,185421
64000,166926
64000,140341
64000,6160
64000,158343
64000,37453
64000,31459
64000,63954
64000,265976
64000,230741
64000,76335
64000,264434
64000,282400
64000,186793
64000,232979
64000,107078
64000,147313
64000,245846
64000,163530
64000,254683
64000,167547
64000,118213
64000,367656
64000,179550
64000,103224
64000,151751
64000,127003
64000,126639
64000,170170
64000,246715
65000,68055
65000,106750
65000,115040
65000,143384
65000,175114
65000,183578
65000,228690
65000,134361
65000,50505
65000,84381
65000,159936
65000,107929
65000,70136
65000,110663
65000,198706
65000,218624
65000,131214
65000,178661
65000,137543
65000,394461
65000,225818
65000,158620
65000,267717
65000,138160
65000,268519
65000,233781
65000,148657
65000,105933
65000,47858
65000,235148
65000,94048
65000,140169
65000,94287
65000,238825
65000,173454
65000,15296
65000,377593
65000,97673
65000,256592
65000,163895
65000,32301
65000,233685
65000,189101
65000,82082
65000,441700
65000,57468
65000,268252
65000,256570
65000,103255
65000,120080
66000,253165
66000,121103
66000,270871
66000,226675
66000,101673
66000,194788
66000,131826
66000,201759
66000,168477
66000,361286
66000,166087
66000,157491
66000,253165
66000,106194
66000,185872
66000,259227
66000,375896
66000,119336
66000,30519
66000,127801
66000,182037
66000,411692
66000,183524
66000,178894
66000,174588
66000,231935
66000,45867
66000,187847
66000,133356
66000,235456
66000,287881
66000,170558
66000,178318
66000,181737
66000,65135
66000,289158
66000,143074
66000,97765
66000,277640
66000,151680
66000,222961
66000,530721
66000,114313
66000,375632
66000,123003
66000,136867
66000,92460
66000,67411
66000,151898
66000,259646
67000,161036
67000,262799
67000,145335
67000,121547
67000,67881
67000,263307
67000,144629
67000,39450
67000,167976
67000,272371
67000,268277
67000,178655
67000,386641
67000,208611
67000,430607
67000,187373
67000,76139
67000,184970
67000,6823
67000,120358
67000,96208
67000,374511
67000,79013
67000,100122
67000,208954
67000,46673
67000,58496
67000,431045
67000,93074
67000,20596
67000,200374
67000,426506
67000,139013
67000,113337
67000,265579
67000,97329
67000,107871
67000,162155
67000,112976
67000,129243
67000,212263
67000,159139
67000,185698
67000,114293
67000,113695
67000,68883
67000,200894
67000,196821
67000,248149
67000,132558
68000,256567
68000,149863
68000,71304
68000,292172
68000,93294
68000,26350
68000,222648
68000,163960
68000,240803
68000,71575
68000,12419
68000,157624
68000,69643
68000,130420
68000,81596
68000,128835
68000,221732
68000,137373
68000,209708
68000,359727
68000,12668
68000,345960
68000,136572
68000,45677
68000,3143
68000,135971
68000,176485
68000,191927
68000,333397
68000,102012
68000,289224
68000,40569
68000,138918
68000,186281
68000,78599
68000,308420
68000,56054
68000,159614
68000,89897
68000,85073
68000,126368
68000,117317
68000,61501
68000,186247
68000,216389
68000,92845
68000,122103
68000,106251
68000,229023
68000,87982
69000,126373
69000,133391
69000,336574
69000,248793
69000,175983
69000,91027
69000,109381
69000,165826
69000,104707
69000,131297
69000,138204
69000,267043
69000,70314
69000,138292
69000,169351
69000,5147
69000,352323
69000,339040
69000,334785
69000,210865
69000,15393
69000,225770
69000,147739
69000,294449
69000,377477
69000,131533
69000,396026
69000,93070
69000,430774
69000,270955
69000,278700
69000,243217
69000,414927
69000,282048
69000,132727
69000,508270
69000,111243
69000,293719
69000,203531
69000,86350
69000,253803
69000,309453
69000,236380
69000,364610
69000,130128
69000,121725
69000,140865
69000,253910
69000,189196
69000,207241
70000,308701
70000,207007
70000,266426
70000,191170
70000,140212
70000,112217
70000,174193
70000,307948
70000,116183
70000,50210
70000,55379
70000,81305
70000,213246
70000,193857
70000,325199
70000,171457
70000,280432
70000,115986
70000,84848
70000,185979
70000,168462
70000,399918
70000,138758
70000,135505
70000,124971
70000,155633
70000,284525
70000,78625
70000,108946
70000,135148
70000,200188
70000,267984
70000,153618
70000,226002
70000,118314
70000,206650
70000,182974
70000,123884
70000,225973
70000,394736
70000,81894
70000,99688
70000,94070
70000,38987
70000,123928
70000,1892
70000,126876
70000,118395
70000,188592
70000,160627
71000,165696
71000,32258
71000,134784
71000,86721
71000,209412
71000,231661
71000,269211
71000,191244
71000,67815
71000,113919
71000,265085
71000,161939
71000,121233
71000,211748
71000,172835
71000,151335
71000,85633
71000,149924
71000,211498
71000,106840
71000,172273
71000,171855
71000,192838
71000,147417
71000,43883
71000,221904
71000,338586
71000,110837
71000,250628
71000,22277
71000,262093
71000,224725
71000,113909
71000,158797
71000,422384
71000,209877
71000,125175
71000,406654
71000,131167
71000,143835
71000,27652
71000,206270
71000,293666
71000,126210
71000,190001
71000,355021
71000,54503
71000,482714
71000,98531
71000,86783
72000,53361
72000,49989
72000,170219
72000,31572
72000,168189
72000,322461
72000,122324
72000,418903
72000,335779
72000,312829
72000,203766
72000,126599
72000,224217
72000,176317
72000,288319
72000,284564
72000,139327
72000,211499
72000,201437
72000,377541
72000,164837
72000,292669
72000,107464
72000,264025
72000,226296
72000,237083
72000,260681
72000,175538
72000,200409
72000,198335
72000,213335
72000,104944
72000,277583
72000,81879
72000,79677
72000,198270
72000,212911
72000,371075
72000,99901
72000,221939
72000,55183
72000,115678
72000,21308
72000,142750
72000,297472
72000,212330
72000,211691
72000,218643
72000,194440
72000,108953
73000,101490
73000,255716
73000,163171
73000,150304
73000,144522
73000,451703
73000,234937
73000,101370
73000,326787
73000,201212
73000,165303
73000,416952
73000,264548
73000,233378
73000,216225
73000,129208
73000,217338
73000,240888
73000,113400
73000,221390
73000,276965
73000,475614
73000,92386
73000,257031
73000,159635
73000,349826
73000,231415
73000,304042
73000,302710
73000,233378
73000,223454
73000,210501
73000,233184
73000,459865
73000,142275
73000,178852
73000,127715
73000,183306
73000,209839
73000,157653
73000,310527
73000,186481
73000,320902
73000,395000
73000,270051
73000,322495
73000,227066
73000,249943
73000,113275
73000,182607
74000,63151
74000,289427
74000,230034
74000,333746
74000,255941
74000,149699
74000,233495
74000,220807
74000,290881
74000,166662
74000,219131
74000,29971
74000,238564
74000,280604
74000,229854
74000,212277
74000,158659
74000,327464
74000,122541
74000,224405
74000,267432
74000,416831
74000,179196
74000,139592
74000,39543
74000,263165
74000,200899
74000,153687
74000,182666
74000,201700
74000,156823
74000,639309
74000,363306
74000,97299
74000,186110
74000,228901
74000,205475
74000,151414
74000,168803
74000,396616
74000,227290
74000,114262
74000,106307
74000,250418
74000,217047
74000,121655
74000,76426
74000,232813
74000,202958
74000,207090
75000,181603
75000,289714
75000,181786
75000,222138
75000,247652
75000,200971
75000,352672
75000,200028
75000,126943
75000,230115
75000,282060
75000,272155
75000,28473
75000,134781
75000,17009
75000,37473
75000,42214
75000,156782
75000,71758
75000,157121
75000,148361
75000,409806
75000,141596
75000,48119
75000,277474
75000,167358
75000,49502
75000,172740
75000,280433
75000,266863
75000,313792
75000,293314
75000,176837
75000,313972
75000,122058
75000,309477
75000,51318
75000,75584
75000,83904
75000,370235
75000,225258
75000,248994
75000,234642
75000,380274
75000,121804
75000,20295
75000,216572
75000,317229
75000,249293
75000,186043
76000,157617
76000,163921
76000,295010
76000,243782
76000,192362
76000,405354
76000,45082
76000,85901
76000,195327
76000,309072
76000,34250
76000,407749
76000,78270
76000,299927
76000,267631
76000,330686
76000,194658
76000,245086
76000,185970
76000,142145
76000,505365
76000,441373
76000,38227
76000,423502
76000,15630
76000,185906
76000,173646
76000,160522
76000,52330
76000,52736
76000,324046
76000,176067
76000,301247
76000,202962
76000,404557
76000,83801
76000,266152
76000,235145
76000,131078
76000,227507
76000,248114
76000,511067
76000,178302
76000,133833
76000,18908
76000,102074
76000,366055
76000,329749
76000,326815
76000,123639
77000,132419
77000,70221
77000,207223
77000,237788
77000,116513
77000,349268
77000,130681
77000,221814
77000,341264
77000,134253
77000,248674
77000,238797
77000,127990
77000,123081
77000,150814
77000,209240
77000,53883
77000,154216
77000,184335
77000,214871
77000,393221
77000,409560
77000,240167
77000,91107
77000,173165
77000,170329
77000,256077
77000,266379
77000,124913
77000,121431
77000,185915
77000,87084
77000,282532
77000,79537
77000,281238
77000,347747
77000,168164
77000,21902
77000,185430
77000,238765
77000,81942
77000,173766
77000,35478
77000,143805
77000,159359
77000,198218
77000,230352
77000,125294
77000,70009
77000,212273
78000,156749
78000,195931
78000,309306
78000,138363
78000,389934
78000,95311
78000,301645
78000,210695
78000,419889
78000,217465
78000,131064
78000,128322
78000,249501
78000,216827
78000,54420
78000,288835
78000,187766
78000,254306
78000,38038
78000,297385
78000,58437
78000,232198
78000,155753
78000,205377
78000,111750
78000,293418
78000,336738
78000,59904
78000,101967
78000,533591
78000,288865
78000,277209
78000,253863
78000,418826
78000,212907
78000,142176
78000,154179
78000,278630
78000,216878
78000,211365
78000,128054
78000,327412
78000,374567
78000,174967
78000,412562
78000,91151
78000,197864
78000,117742
78000,327086
78000,289029
79000,424199
79000,229618
79000,117783
79000,40235
79000,253960
79000,383031
79000,184310
79000,172766
79000,232278
79000,106736
79000,230235
79000,239630
79000,267594
79000,324590
79000,174962
79000,110383
79000,173000
79000,305702
79000,52513
79000,140329
79000,315712
79000,25099
79000,189230
79000,223853
79000,35322
79000,198417
79000,49416
79000,269664
79000,195157
79000,351806
79000,186365
79000,195993
79000,249794
79000,182475
79000,340304
79000,102117
79000,291671
79000,244901
79000,137051
79000,138240
79000,79878
79000,90115
79000,258581
79000,206860
79000,94362
79000,94298
79000,235499
79000,328991
79000,358127
79000,258961
80000,354529
80000,135051
80000,369282
80000,273665
80000,423656
80000,341355
80000,322568
80000,195006
80000,404472
80000,298344
80000,145471
80000,264665
80000,184157
80000,4388
80000,253123
80000,345725
80000,304203
80000,554721
80000,422170
80000,52992
80000,35605
80000,185426
80000,224728
80000,347443
80000,411697
80000,124565
80000,253191
80000,100650
80000,416801
80000,164194
80000,10844
80000,798113
80000,160913
80000,132436
80000,654494
80000,361143
80000,318901
80000,209637
80000,111292
80000,258142
80000,286792
80000,44343
80000,3185
80000,160388
80000,265922
80000,203611
80000,283334
80000,20860
80000,162866
80000,224548
81000,222565
81000,143339
81000,211401
81000,9839
81000,311355
81000,243810
81000,319481
81000,216046
81000,264002
81000,283899
81000,135631
81000,295562
81000,438970
81000,229649
81000,18222
81000,258864
81000,238389
81000,388839
81000,264101
81000,259045
81000,338026
81000,18922
81000,80040
81000,263821
81000,401055
81000,198219
81000,142762
81000,78378
81000,199799
81000,20761
81000,197894
81000,241631
81000,200446
81000,258693
81000,186391
81000,236301
81000,647207
81000,193414
81000,202706
81000,176704
81000,316977
81000,325691
81000,86006
81000,270646
81000,142021
81000,238249
81000,266194
81000,195398
81000,218256
81000,96218
82000,140202
82000,250091
82000,226945
82000,418012
82000,658893
82000,226720
82000,316611
82000,328675
82000,6322
82000,311760
82000,268501
82000,241545
82000,109407
82000,192659
82000,2697
82000,359746
82000,65592
82000,207109
82000,135156
82000,143501
82000,233379
82000,239341
82000,100552
82000,129452
82000,244641
82000,285720
82000,29567
82000,323559
82000,97795
82000,328175
82000,395781
82000,222838
82000,149691
82000,137106
82000,28984
82000,43294
82000,7353
82000,203825
82000,131903
82000,117137
82000,586492
82000,390770
82000,83287
82000,342790
82000,108277
82000,109773
82000,21891
82000,221430
82000,226188
82000,301210
83000,199923
83000,228969
83000,409915
83000,311434
83000,298467
83000,142869
83000,235520
83000,315122
83000,285421
83000,118590
83000,132803
83000,233072
83000,282494
83000,229517
83000,175767
83000,177871
83000,347186
83000,141059
83000,280034
83000,79617
83000,157087
83000,132232
83000,59178
83000,223986
83000,122974
83000,63136
83000,45707
83000,24343
83000,176567
83000,239254
83000,323472
83000,70080
83000,191557
83000,213193
83000,394474
83000,328199
83000,83055
83000,217445
83000,371449
83000,219931
83000,134043
83000,151275
83000,473684
83000,213881
83000,186573
83000,404773
83000,367214
83000,79238
83000,31018
83000,409086
84000,457745
84000,187168
84000,93518
84000,245132
84000,99646
84000,272890
84000,202547
84000,247778
84000,138037
84000,234280
84000,270637
84000,182431
84000,347667
84000,58006
84000,9445
84000,247421
84000,202062
84000,254488
84000,368137
84000,174131
84000,334255
84000,212741
84000,88323
84000,179688
84000,201399
84000,275571
84000,134172
84000,247476
84000,101797
84000,153566
84000,93984
84000,448103
84000,522074
84000,228204
84000,180860
84000,235348
84000,290918
84000,553411
84000,487991
84000,56425
84000,82864
84000,311817
84000,134028
84000,359892
84000,307815
84000,97866
84000,315711
84000,126715
84000,166525
84000,294515
85000,212508
85000,13708
85000,166831
85000,186302
85000,131917
85000,292212
85000,139762
85000,98273
85000,95697
85000,442224
85000,208001
85000,161476
85000,444161
85000,37396
85000,372842
85000,469190
85000,108290
85000,426998
85000,279572
85000,225157
85000,283146
85000,576298
85000,327398
85000,475349
85000,232300
85000,180166
85000,119847
85000,94057
85000,380961
85000,53041
85000,201010
85000,235702
85000,405069
85000,123715
85000,225730
85000,317737
85000,283303
85000,205761
85000,204143
85000,161650
85000,13551
85000,659154
85000,212629
85000,299740
85000,148792
85000,547713
85000,413216
85000,470626
85000,58785
85000,349908
86000,114894
86000,119396
86000,277737
86000,208517
86000,385421
86000,319353
86000,163370
86000,235386
86000,179420
86000,214094
86000,150879
86000,64423
86000,224510
86000,231481
86000,255486
86000,217973
86000,243060
86000,218960
86000,149507
86000,440607
86000,274971
86000,297154
86000,59214
86000,386359
86000,180991
86000,160925
86000,29605
86000,253166
86000,325026
86000,283334
86000,248701
86000,27958
86000,383477
86000,153222
86000,71374
86000,155628
86000,161420
86000,184001
86000,111336
86000,96900
86000,162010
86000,239623
86000,108468
86000,706037
86000,256344
86000,184943
86000,171909
86000,273744
86000,411263
86000,168933
87000,373702
87000,581628
87000,695889
87000,305073
87000,444234
87000,270655
87000,359744
87000,286927
87000,91701
87000,83908
87000,216953
87000,257350
87000,142200
87000,374034
87000,195122
87000,20107
87000,176004
87000,189006
87000,53407
87000,176595
87000,354560
87000,385801
87000,449272
87000,288713
87000,101635
87000,219457
87000,191875
87000,251366
87000,488217
87000,75393
87000,168417
87000,422567
87000,545863
87000,120941
87000,222664
87000,438517
87000,644730
87000,280081
87000,315225
87000,71032
87000,223438
87000,159871
87000,278375
87000,520063
87000,460739
87000,56228
87000,301181
87000,511115
87000,357671
87000,111043
88000,111896
88000,112268
88000,156306
88000,109075
88000,436876
88000,38803
88000,210118
88000,375272
88000,194833
88000,589270
88000,230107
88000,347116
88000,296871
88000,155375
88000,218390
88000,557394
88000,272665
88000,310988
88000,124199
88000,66224
88000,29455
88000,26169
88000,190565
88000,230298
88000,442357
88000,375527
88000,29286
88000,308400
88000,143061
88000,82466
88000,176874
88000,339045
88000,294399
88000,364507
88000,77434
88000,152249
88000,404596
88000,526979
88000,270575
88000,226449
88000,135212
88000,433274
88000,90250
88000,132699
88000,176213
88000,123535
88000,165719
88000,204407
88000,334248
88000,29543
89000,269324
89000,293530
89000,342406
89000,277246
89000,183990
89000,125729
89000,505209
89000,171724
89000,131718
89000,115309
89000,358466
89000,203992
89000,117215
89000,70880
89000,44707
89000,149575
89000,185833
89000,283930
89000,313774
89000,454462
89000,167771
89000,351789
89000,211814
89000,214004
89000,242844
89000,343411
89000,10854
89000,298059
89000,233961
89000,483009
89000,174463
89000,226734
89000,281308
89000,222489
89000,247691
89000,388594
89000,86397
89000,397705
89000,280316
89000,121216
89000,282961
89000,346459
89000,176102
89000,173141
89000,445136
89000,144637
89000,58200
89000,147394
89000,44030
89000,296126
90000,349346
90000,149700
90000,64719
90000,243713
90000,126868
90000,377538
90000,188782
90000,237264
90000,133260
90000,370445
90000,207045
90000,465021
90000,47385
90000,161770
90000,74289
90000,357673
90000,154219
90000,145861
90000,330999
90000,414735
90000,322536
90000,318824
90000,242733
90000,253936
90000,238386
90000,112779
90000,592728
90000,221555
90000,120539
90000,474683
90000,191625
90000,107948
90000,148087
90000,365010
90000,475198
90000,429634
90000,213358
90000,32559
90000,186547
90000,236076
90000,283009
90000,368628
90000,278045
90000,245574
90000,243401
90000,83045
90000,206610
90000,224672
90000,235005
90000,366453
91000,134768
91000,398390
91000,94325
91000,341564
91000,361814
91000,236638
91000,126509
91000,191407
91000,407189
91000,330502
91000,265405
91000,348135
91000,555306
91000,153271
91000,309324
91000,236212
91000,142898
91000,186706
91000,388687
91000,445578
91000,447010
91000,165262
91000,273560
91000,284060
91000,294840
91000,434415
91000,204430
91000,135640
91000,134661
91000,187721
91000,192429
91000,375379
91000,309062
91000,469336
91000,267587
91000,228443
91000,298420
91000,180282
91000,101718
91000,151216
91000,164825
91000,287108
91000,217403
91000,238090
91000,462024
91000,442279
91000,440468
91000,269805
91000,723486
91000,193639
92000,317412
92000,44337
92000,199897
92000,288511
92000,149012
92000,366005
92000,168495
92000,108432
92000,233641
92000,212084
92000,249139
92000,256826
92000,593723
92000,210492
92000,499867
92000,349887
92000,63745
92000,184412
92000,299749
92000,8034
92000,201977
92000,286743
92000,162075
92000,217287
92000,84976
92000,126581
92000,109143
92000,226900
92000,193416
92000,179906
92000,122140
92000,380997
92000,571425
92000,102950
92000,143328
92000,279554
92000,127782
92000,152196
92000,478785
92000,147450
92000,325927
92000,435442
92000,401631
92000,242874
92000,496438
92000,362079
92000,20678
92000,214914
92000,281696
92000,307835
93000,186267
93000,238430
93000,239172
93000,264868
93000,334254
93000,45479
93000,349559
93000,83710
93000,338898
93000,118111
93000,166735
93000,125116
93000,311995
93000,140002
93000,222591
93000,442357
93000,45539
93000,275760
93000,104712
93000,204018
93000,204037
93000,55105
93000,163823
93000,231090
93000,25151
93000,332027
93000,280702
93000,113015
93000,429131
93000,343292
93000,350107
93000,147261
93000,431985
93000,327382
93000,173237
93000,251901
93000,244293
93000,189176
93000,172362
93000,125348
93000,301867
93000,259529
93000,147664
93000,159858
93000,234837
93000,275107
93000,100775
93000,21641
93000,196743
93000,44882
94000,206142
94000,385504
