n,D-C
11000,58010
11000,2944
11000,6880
11000,51720
11000,29653
11000,48315
11000,28694
11000,46269
11000,47291
11000,16805
11000,13193
11000,53491
11000,9508
11000,34245
11000,34317
11000,15282
12000,37506
12000,9055
12000,19714
12000,65767
12000,23333
12000,3296
12000,32584
12000,23084
12000,19317
12000,37090
12000,26253
12000,37340
12000,50187
12000,57683
12000,19667
12000,21190
12000,62054
12000,22763
12000,20415
12000,12491
12000,10251
12000,43564
12000,49931
12000,33615
12000,37109
12000,35711
12000,81564
12000,20150
12000,24328
12000,61361
12000,17807
12000,5257
12000,64045
12000,32185
12000,55059
12000,22961
12000,29076
12000,53341
12000,27130
12000,45519
12000,41375
12000,33557
12000,5344
12000,22164
12000,46246
12000,33215
12000,31052
12000,36516
12000,15517
12000,34508
13000,19023
13000,25848
13000,54606
13000,17446
13000,51985
13000,11790
13000,26951
13000,48979
13000,4923
13000,25471
13000,22211
13000,40740
13000,28532
13000,40842
13000,26416
13000,38021
13000,30215
13000,32234
13000,40566
13000,36847
13000,17801
13000,32616
13000,50149
13000,31353
13000,28087
13000,9200
13000,3068
13000,44548
13000,59668
13000,21679
13000,58473
13000,14849
13000,12857
13000,22149
13000,23986
13000,17442
13000,26704
13000,52259
13000,173
13000,34817
13000,31044
13000,52934
13000,52840
13000,56471
13000,36844
13000,4609
13000,28698
13000,31581
13000,64208
13000,42579
14000,34711
14000,67748
14000,25989
14000,23934
14000,189
14000,98042
14000,17708
14000,34117
14000,23393
14000,45372
14000,51953
14000,27745
14000,40093
14000,25116
14000,32983
14000,277
14000,80856
14000,9581
14000,52666
14000,21936
14000,57437
14000,40151
14000,32137
14000,35107
14000,32828
14000,37607
14000,10853
14000,13499
14000,29784
14000,57800
14000,35607
14000,55097
14000,39098
14000,46649
14000,37713
14000,49526
14000,13372
14000,42420
14000,56826
14000,26950
14000,77944
14000,22235
14000,41867
14000,27413
14000,16942
14000,44185
14000,48596
14000,17426
14000,41943
14000,35620
15000,44516
15000,49639
15000,28772
15000,70571
15000,29438
15000,65975
15000,12303
15000,45688
15000,29295
15000,68445
15000,35299
15000,22972
15000,2901
15000,35916
15000,31935
15000,10429
15000,60629
15000,14363
15000,15132
15000,59358
15000,5669
15000,71727
15000,89586
15000,48518
15000,31530
15000,15783
15000,16977
15000,35723
15000,75421
15000,15931
15000,92680
15000,72583
15000,33206
15000,39760
15000,19126
15000,8404
15000,16768
15000,49641
15000,24936
15000,9093
15000,47463
15000,17513
15000,24367
15000,52230
15000,57591
15000,67581
15000,100542
15000,30504
15000,23056
15000,35403
16000,67865
16000,66006
16000,47875
16000,36962
16000,4229
16000,76476
16000,21916
16000,50308
16000,37171
16000,60830
16000,68133
16000,89265
16000,21340
16000,42326
16000,43531
16000,13259
16000,89662
16000,41808
16000,63166
16000,26958
16000,45361
16000,42984
16000,36216
16000,49246
16000,52161
16000,37668
16000,3373
16000,69447
16000,75400
16000,7380
16000,59716
16000,340
16000,20851
16000,64169
16000,23816
16000,32901
16000,72698
16000,20797
16000,64552
16000,24511
16000,32668
16000,6528
16000,8804
16000,70826
16000,107453
16000,78904
16000,16298
16000,35458
16000,40022
16000,38169
17000,34725
17000,97570
17000,73876
17000,105702
17000,27967
17000,46793
17000,37904
17000,53066
17000,663
17000,45060
17000,2880
17000,41050
17000,53353
17000,84123
17000,50459
17000,24468
17000,75009
17000,41058
17000,90902
17000,73997
17000,19211
17000,70911
17000,34402
17000,1395
17000,38108
17000,21815
17000,86118
17000,82935
17000,53867
17000,48587
17000,28387
17000,15791
17000,33229
17000,39145
17000,21211
17000,58139
17000,46910
17000,101421
17000,66737
17000,84349
17000,93875
17000,25844
17000,68601
17000,28806
17000,67072
17000,38880
17000,42289
17000,38125
17000,39726
17000,63908
18000,53829
18000,37087
18000,64598
18000,22611
18000,37205
18000,62419
18000,91466
18000,22748
18000,52926
18000,78635
18000,49329
18000,50515
18000,119770
18000,16790
18000,11388
18000,31381
18000,84132
18000,68538
18000,29343
18000,53906
18000,41616
18000,26973
18000,48737
18000,78153
18000,83144
18000,49648
18000,33517
18000,38477
18000,48916
18000,39447
18000,82734
18000,101768
18000,21095
18000,39468
18000,57586
18000,39713
18000,16288
18000,13652
18000,62496
18000,29803
18000,45681
18000,49864
18000,55977
18000,33538
18000,378
18000,19218
18000,40351
18000,43208
18000,60796
18000,41719
19000,63527
19000,72157
19000,94027
19000,75051
19000,43850
19000,70924
19000,24859
19000,3866
19000,137855
19000,80283
19000,52693
19000,71160
19000,40577
19000,43561
19000,44515
19000,24903
19000,16644
19000,24670
19000,41154
19000,42025
19000,67158
19000,628
19000,29009
19000,40204
19000,43649
19000,67745
19000,27240
19000,3588
19000,89106
19000,52387
19000,45781
19000,80445
19000,89507
19000,38245
19000,25654
19000,53277
19000,68273
19000,45791
19000,75596
19000,13766
19000,74846
19000,2481
19000,37644
19000,8946
19000,79578
19000,93073
19000,61881
19000,33595
19000,11550
19000,40090
20000,32960
20000,70964
20000,22738
20000,26825
20000,1102
20000,73771
20000,30320
20000,60040
20000,51394
