n,U
11000,4062
12000,4438
12000,4423
12000,4446
12000,4343
12000,4374
12000,4413
12000,4435
12000,4440
12000,4409
12000,4386
12000,4407
12000,4385
12000,4429
12000,4412
12000,4434
12000,4385
12000,4448
12000,4394
12000,4458
12000,4505
12000,4420
12000,4365
12000,4399
12000,4457
12000,4409
12000,4413
12000,4398
12000,4405
12000,4393
12000,4449
12000,4424
12000,4399
12000,4484
12000,4445
12000,4378
12000,4424
12000,4423
12000,4395
12000,4378
12000,4378
12000,4375
12000,4439
12000,4409
12000,4419
12000,4406
12000,4351
12000,4357
12000,4476
12000,4404
12000,4415
13000,4709
13000,4755
13000,4797
13000,4853
13000,4839
13000,4784
13000,4737
13000,4765
13000,4837
13000,4823
13000,4854
13000,4788
13000,4684
13000,4775
13000,4749
13000,4762
13000,4793
13000,4755
13000,4713
13000,4760
13000,4817
13000,4803
13000,4751
13000,4767
13000,4827
13000,4784
13000,4783
13000,4783
13000,4748
13000,4821
13000,4775
13000,4769
13000,4832
13000,4744
13000,4809
13000,4806
13000,4832
13000,4746
13000,4768
13000,4795
13000,4768
13000,4810
13000,4760
13000,4796
13000,4659
13000,4734
13000,4803
13000,4792
13000,4775
13000,4767
14000,5197
14000,5194
14000,5230
14000,5175
14000,5152
14000,5224
14000,5194
14000,5174
14000,5166
14000,5123
14000,5143
14000,5131
14000,5110
14000,5154
14000,5147
14000,5173
14000,5182
14000,5121
14000,5178
14000,5141
14000,5162
14000,5079
14000,5092
14000,5161
14000,5152
14000,5142
14000,5121
14000,5122
14000,5124
14000,5146
14000,5165
14000,5187
14000,5150
14000,5079
14000,5133
14000,5178
14000,5146
14000,5169
14000,5097
14000,5163
14000,5148
14000,5151
14000,5161
14000,5143
14000,5099
14000,5101
14000,5096
14000,5115
14000,5182
14000,5152
15000,5533
15000,5520
15000,5537
15000,5491
15000,5496
15000,5511
15000,5467
15000,5525
15000,5571
15000,5441
15000,5448
15000,5603
15000,5596
15000,5515
15000,5549
15000,5464
15000,5482
15000,5549
15000,5474
15000,5541
15000,5575
15000,5545
15000,5516
15000,5530
15000,5461
15000,5603
15000,5476
15000,5596
15000,5467
15000,5549
15000,5574
15000,5536
15000,5464
15000,5475
15000,5476
15000,5583
15000,5568
15000,5479
15000,5557
15000,5520
15000,5452
15000,5487
15000,5506
15000,5552
15000,5554
15000,5561
15000,5522
15000,5509
15000,5532
15000,5516
16000,5844
16000,5858
16000,5961
16000,5867
16000,5819
16000,5862
16000,5941
16000,5812
16000,5853
16000,5869
16000,5911
16000,5901
16000,5905
16000,5925
16000,5944
16000,5849
16000,5945
16000,5910
16000,5867
16000,5847
16000,5915
16000,5807
16000,5916
16000,5888
16000,5950
16000,5931
16000,5852
16000,5829
16000,5849
16000,5918
16000,5837
16000,5871
16000,5835
16000,5881
16000,5971
16000,5892
16000,5860
16000,5890
16000,5896
16000,5922
16000,5963
16000,5827
16000,5911
16000,5903
16000,5909
16000,5879
16000,5851
16000,5877
16000,5896
16000,5929
17000,6273
17000,6233
17000,6307
17000,6242
17000,6237
17000,6250
17000,6275
17000,6234
17000,6383
17000,6242
17000,6273
17000,6240
17000,6257
17000,6161
17000,6263
17000,6168
17000,6212
17000,6305
17000,6203
17000,6307
