n,C
11000,94233
11000,98022
11000,138453
11000,133187
11000,124858
11000,90618
11000,100975
11000,98708
11000,103328
11000,94509
11000,85423
11000,101657
11000,103805
11000,101492
11000,115592
11000,97413
11000,96662
11000,98691
12000,114273
12000,119135
12000,139209
12000,105582
12000,108836
12000,162951
12000,111321
12000,105973
12000,109749
12000,128916
12000,110159
12000,101538
12000,95177
12000,106548
12000,109382
12000,120910
12000,93601
12000,115644
12000,115572
12000,118406
12000,135674
12000,104221
12000,111076
12000,109236
12000,125754
12000,99280
12000,132713
12000,106976
12000,114212
12000,101140
12000,122658
12000,139169
12000,117493
12000,102476
12000,102773
12000,124937
12000,106386
12000,104551
12000,117840
12000,109636
12000,111644
12000,119884
12000,144944
12000,124509
12000,113881
12000,111874
12000,126993
12000,112711
12000,118334
12000,104793
13000,139647
13000,133587
13000,116023
13000,143032
13000,129852
13000,152645
13000,129560
13000,104090
13000,147972
13000,126858
13000,137523
13000,145043
13000,133753
13000,116724
13000,179579
13000,128186
13000,125612
13000,159121
13000,126514
13000,121944
13000,156532
13000,114834
13000,115230
13000,126750
13000,149491
13000,132836
13000,176575
13000,120766
13000,115877
13000,154481
13000,111628
13000,129902
13000,131155
13000,125397
13000,150812
13000,132670
13000,117750
13000,111638
13000,148136
13000,120797
13000,126748
13000,119141
13000,107960
13000,128186
13000,128039
13000,148149
13000,117188
13000,131527
13000,104563
13000,124888
14000,142155
14000,125014
14000,154623
14000,131730
14000,184979
14000,136317
14000,160793
14000,156372
14000,154446
14000,118870
14000,131090
14000,137691
14000,131730
14000,150132
14000,123105
14000,211481
14000,125761
14000,160014
14000,135772
14000,173027
14000,124447
14000,126641
14000,139540
14000,143613
14000,128351
14000,132715
14000,150834
14000,173061
14000,120903
14000,120396
14000,128775
14000,131345
14000,126002
14000,123721
14000,144677
14000,141357
14000,138385
14000,134600
14000,145496
14000,124802
14000,131207
14000,150108
14000,131799
14000,142779
14000,148157
14000,149158
14000,148091
14000,142221
14000,149916
14000,151426
15000,147489
15000,147720
15000,138461
15000,146882
15000,140584
15000,129749
15000,175549
15000,133812
15000,147328
15000,140817
15000,151673
15000,155185
15000,178024
15000,148640
15000,152886
15000,228574
15000,136944
15000,214097
15000,156449
15000,139489
15000,170421
15000,136646
15000,129488
15000,145186
15000,155759
15000,175392
15000,163418
15000,133288
15000,135622
15000,173478
15000,120353
15000,149752
15000,136157
15000,150736
15000,140733
15000,157182
15000,202803
15000,147223
15000,161397
15000,150755
15000,142892
15000,139102
15000,146743
15000,152165
15000,145670
15000,127979
15000,141499
15000,165838
15000,144147
15000,137036
16000,163801
16000,159998
16000,155864
16000,132504
16000,205118
16000,164439
16000,154339
16000,154776
16000,159869
16000,152138
16000,152454
16000,137285
16000,166966
16000,166033
16000,151894
16000,169736
16000,144353
16000,152648
16000,160377
16000,173741
16000,165448
16000,161102
16000,158388
16000,142981
16000,171186
16000,164354
16000,225447
16000,142621
16000,156437
16000,202216
16000,179039
16000,162080
16000,189128
16000,169447
16000,175572
16000,158294
16000,143803
16000,177042
16000,146721
16000,308196
16000,143508
16000,190472
16000,161444
16000,146284
16000,148759
16000,163317
16000,162621
16000,152238
16000,152383
16000,180414
17000,193907
17000,151312
17000,154110
17000,137471
17000,221285
17000,173409
17000,190459
17000,189743
17000,216845
17000,162967
17000,224137
17000,169845
17000,141366
17000,147690
17000,169732
17000,184953
17000,148483
17000,183907
17000,157512
17000,145952
17000,174930
17000,153621
17000,166657
17000,203673
17000,200306
17000,163096
17000,158394
17000,151857
17000,171354
17000,176323
17000,172512
17000,184516
17000,174245
17000,171438
17000,220419
17000,147980
17000,167626
17000,154366
17000,152128
17000,173719
17000,193931
17000,199515
17000,152195
17000,175423
17000,156174
17000,156675
17000,164413
17000,153077
17000,141386
17000,163809
18000,167986
18000,186570
18000,157440
18000,183329
18000,183632
18000,166868
18000,189382
18000,162618
18000,166260
18000,186024
18000,159955
18000,169620
18000,194695
18000,236904
18000,208806
18000,183156
18000,158159
18000,165581
18000,176764
18000,182403
18000,178442
18000,203940
18000,164963
18000,170296
18000,178781
18000,196436
