n,C-D
11000,54864
11000,31846
11000,19932
11000,28470
11000,23888
11000,12037
11000,22764
11000,39999
11000,37078
11000,25831
11000,31335
11000,45394
11000,58136
11000,6973
11000,34983
12000,11189
12000,7789
12000,26543
12000,24088
12000,8273
12000,42182
12000,22567
12000,2480
12000,35065
12000,41356
12000,34440
12000,31323
12000,25871
12000,9722
12000,37145
12000,22924
12000,22941
12000,10767
12000,30603
12000,24529
12000,31834
12000,88532
12000,51549
12000,42963
12000,33447
12000,42347
12000,18873
12000,25152
12000,39167
12000,18838
12000,9860
12000,10617
12000,10399
12000,84041
12000,19109
12000,14556
12000,50380
12000,60320
12000,33439
12000,13410
12000,57785
12000,26567
12000,30974
12000,31006
12000,36403
12000,45649
12000,71220
12000,31107
12000,19644
12000,59650
13000,62297
13000,29387
13000,29776
13000,62351
13000,19290
13000,39744
13000,34356
13000,30505
13000,24424
13000,29446
13000,59593
13000,49214
13000,37887
13000,7632
13000,35031
13000,61063
13000,58162
13000,55551
13000,81858
13000,14611
13000,22430
13000,12856
13000,8641
13000,90463
13000,25039
13000,23390
13000,35429
13000,35575
13000,23106
13000,22267
13000,32084
13000,65971
13000,4701
13000,14873
13000,14597
13000,37495
13000,36758
13000,53049
13000,8379
13000,30813
13000,27205
13000,14861
13000,26517
13000,16769
13000,18678
13000,36786
13000,12811
13000,17117
13000,81457
13000,13945
14000,48550
14000,36724
14000,13213
14000,35410
14000,14914
14000,45726
14000,32438
14000,34768
14000,13383
14000,57058
14000,36491
14000,45359
14000,26051
14000,12624
14000,85113
14000,53365
14000,19065
14000,87502
14000,23493
14000,14903
14000,42012
14000,29725
14000,61953
14000,61278
14000,18351
14000,10179
14000,11481
14000,91746
14000,24883
14000,62155
14000,10086
14000,30834
14000,30176
14000,32132
14000,43863
14000,47855
14000,7687
14000,55946
14000,24323
14000,42343
14000,12392
14000,17850
14000,26326
14000,56459
14000,35471
14000,23639
14000,60699
14000,48836
14000,17929
14000,28188
15000,34743
15000,47362
15000,28236
15000,29664
15000,60626
15000,3545
15000,14075
15000,24891
15000,24778
15000,22987
15000,43495
15000,34406
15000,60661
15000,36952
15000,51144
15000,30047
15000,58189
15000,2925
15000,43285
15000,48821
15000,57233
15000,24158
15000,30533
15000,38984
15000,49479
15000,8729
15000,5960
15000,57524
15000,33226
15000,39044
15000,107028
15000,38865
15000,9626
15000,39464
15000,27705
15000,5634
15000,50002
15000,22502
15000,23438
15000,32507
15000,30345
15000,14244
15000,17968
15000,10400
15000,33699
15000,23669
15000,30732
15000,72017
15000,30133
15000,2519
16000,47247
16000,11586
16000,51783
16000,55767
16000,39630
16000,47236
16000,41404
16000,17924
16000,11482
16000,24129
16000,27515
16000,26185
16000,29490
16000,63627
16000,27199
16000,23934
16000,69406
16000,62159
16000,32223
16000,74244
16000,33849
16000,3624
16000,41444
16000,47276
16000,13586
16000,90752
16000,27897
16000,68884
16000,25531
16000,33309
16000,29732
16000,13320
16000,31867
16000,11291
16000,23059
16000,22040
16000,80513
16000,36389
16000,55754
16000,62405
16000,35659
16000,1696
16000,22764
16000,9108
16000,59472
16000,34542
16000,2638
16000,34821
16000,16535
16000,52578
17000,66934
