S_N,Probability
-15,3.034E-5
-14,0.0
-13,4.582E-4
-12,0.0
-11,0.00320871
-10,0.0
-9,0.01390324
-8,0.0
-7,0.04166109
-6,0.0
-5,0.09162812
-4,0.0
-3,0.15276305
-2,0.0
-1,0.19635594
0,0.0
1,0.19642069
2,0.0
3,0.1526858
4,0.0
5,0.09164684
6,0.0
7,0.04166592
8,0.0
9,0.01388253
10,0.0
11,0.00320213
12,0.0
13,4.5757E-4
14,0.0
15,2.983E-5
