S_N,Probability
-10,9.7293E-4
-9,0.0
-8,0.00976992
-7,0.0
-6,0.04393306
-5,0.0
-4,0.11718701
-3,0.0
-2,0.20506018
-1,0.0
0,0.24612093
1,0.0
2,0.20510749
3,0.0
4,0.11716988
5,0.0
6,0.04392613
7,0.0
8,0.00977429
9,0.0
10,9.7818E-4
