S_N,Probability
-20,9.1E-7
-19,0.0
-18,1.868E-5
-17,0.0
-16,1.8216E-4
-15,0.0
-14,0.00108649
-13,0.0
-12,0.0046299
-11,0.0
-10,0.01478018
-9,0.0
-8,0.03696542
-7,0.0
-6,0.07397242
-5,0.0
-4,0.12010273
-3,0.0
-2,0.16015931
-1,0.0
0,0.17624919
1,0.0
2,0.16016384
3,0.0
4,0.12016118
5,0.0
6,0.07384334
7,0.0
8,0.03699362
9,0.0
10,0.01479647
11,0.0
12,0.00460769
13,0.0
14,0.0010883
15,0.0
16,1.7842E-4
17,0.0
18,1.881E-5
19,0.0
20,9.4E-7
