S_N,Probability
-30,1.0E-8
-29,0.0
-28,4.0E-8
-27,0.0
-26,4.0E-7
-25,0.0
-24,3.86E-6
-23,0.0
-22,2.485E-5
-21,0.0
-20,1.335E-4
-19,0.0
-18,5.5116E-4
-17,0.0
-16,0.00188891
-15,0.0
-14,0.00544787
-13,0.0
-12,0.01333403
-11,0.0
-10,0.02799391
-9,0.0
-8,0.05086981
-7,0.0
-6,0.08054549
-5,0.0
-4,0.11152169
-3,0.0
-2,0.13545489
-1,0.0
0,0.14447611
1,0.0
2,0.13543311
3,0.0
4,0.11157734
5,0.0
6,0.08053402
7,0.0
8,0.05086882
9,0.0
10,0.02795297
11,0.0
12,0.01333324
13,0.0
14,0.00544057
15,0.0
16,0.00189555
17,0.0
18,5.5563E-4
19,0.0
20,1.3251E-4
21,0.0
22,2.564E-5
23,0.0
24,3.67E-6
25,0.0
26,3.8E-7
27,0.0
28,2.0E-8
29,0.0
30,0.0
